Text,1-1,1-N,N-1,N-N,1-1,1-N,N-1,N-N
Theodoridis,30,56,2,8,31%,58%,2%,8%
Coleridge,51,46,4,7,47%,43%,4%,6%
Kovacs,43,56,4,6,39%,51%,4%,6%
Johnston,33,56,3,11,32%,54%,3%,11%
